# OASF 1.0.0 domains taxonomy — vendored path -> uid (slash-delimited machine names).
# Source: schema.oasf.outshift.com/api/domains (cross-check against github.com/agntcy/oasf).
# uids are explicitly assigned per node (NOT a single formula): always look up, never compute.
# Generated by slice 2 (#4518) directly from the hosted schema (complete tree).
# Format: <slash/path>\t<uid>   ('#' comments and blank lines ignored)

base_domain	0
technology/internet_of_things	101
technology/software_engineering	102
technology/networking	103
technology/data_science	104
technology/cloud_computing	105
technology/information_technology	106
technology/security	107
technology/communication_systems	108
technology/blockchain	109
technology/process_automation	110
finance_and_business/banking	201
finance_and_business/finance	202
finance_and_business/investment_services	203
finance_and_business/consumer_goods	204
finance_and_business/retail	205
life_science/biotechnology	301
life_science/pharmaceutical_research	302
life_science/genomics	303
life_science/bioinformatics	304
life_science/molecular_biology	305
trust_and_safety/online_safety	401
trust_and_safety/content_moderation	402
trust_and_safety/fraud_prevention	403
trust_and_safety/data_privacy	404
trust_and_safety/risk_management	405
human_resources/recruitment	501
human_resources/employee_relations	502
human_resources/training_and_development	503
human_resources/compensation_and_benefits	504
human_resources/hr_analytics	505
education/e_learning	601
education/curriculum_design	602
education/learning_management_systems	603
education/educational_technology	604
education/pedagogy	605
industrial_manufacturing/automation	701
industrial_manufacturing/robotics	702
industrial_manufacturing/supply_chain_management	703
industrial_manufacturing/lean_manufacturing	704
industrial_manufacturing/process_engineering	705
transportation/logistics	801
transportation/automotive	802
transportation/public_transit	803
transportation/supply_chain	804
transportation/freight	805
transportation/autonomous_vehicles	806
healthcare/medical_technology	901
healthcare/telemedicine	902
healthcare/healthcare_informatics	903
healthcare/patient_management_systems	904
healthcare/health_information_systems	905
legal/contract_law	1001
legal/intellectual_property	1002
legal/regulatory_compliance	1003
legal/litigation	1004
legal/legal_research	1005
legal/corporate_governance	1006
agriculture/agricultural_technology	1101
agriculture/crop_management	1102
agriculture/livestock_management	1103
agriculture/precision_agriculture	1104
agriculture/sustainable_farming	1105
energy/energy_management	1201
energy/energy_storage	1202
energy/oil_and_gas	1203
energy/power_generation	1204
energy/renewable_energy	1205
energy/smart_grids	1206
media_and_entertainment/broadcasting	1301
media_and_entertainment/content_creation	1302
media_and_entertainment/digital_media	1303
media_and_entertainment/gaming	1304
media_and_entertainment/publishing	1305
media_and_entertainment/streaming_services	1306
real_estate/construction	1401
real_estate/facilities_management	1402
real_estate/property_management	1403
real_estate/proptech	1404
real_estate/real_estate_investment	1405
real_estate/urban_planning	1406
hospitality_and_tourism/event_planning	1501
hospitality_and_tourism/food_and_beverage	1502
hospitality_and_tourism/hospitality_technology	1503
hospitality_and_tourism/hotel_management	1504
hospitality_and_tourism/tourism_management	1505
hospitality_and_tourism/travel_services	1506
telecommunications/internet_services	1601
telecommunications/iot_connectivity	1602
telecommunications/network_infrastructure	1603
telecommunications/telecom_operations	1604
telecommunications/voip_and_unified_communications	1605
telecommunications/wireless_communications	1606
environmental_science/climate_science	1701
environmental_science/conservation_biology	1702
environmental_science/ecology	1703
environmental_science/environmental_monitoring	1704
environmental_science/environmental_policy	1705
environmental_science/sustainability	1706
government_and_public_sector/civic_engagement	1801
government_and_public_sector/e_government	1802
government_and_public_sector/emergency_management	1803
government_and_public_sector/public_administration	1804
government_and_public_sector/public_infrastructure	1805
government_and_public_sector/public_policy	1806
research_and_development/grant_management	1901
research_and_development/innovation_management	1902
research_and_development/laboratory_management	1903
research_and_development/product_development	1904
research_and_development/research_data_management	1905
research_and_development/scientific_research	1906
retail_and_ecommerce/customer_experience	2001
retail_and_ecommerce/inventory_management	2002
retail_and_ecommerce/online_retail	2003
